dose_g,roast,grinder,grinder_setting,bed_height_cm,brew_temp_C,final_coffee_temp_C,final_tds_pct,ambient_temp_C,dripper_mass_g,dripper_cp_J_gK,lambda_liquid_dripper,lambda_dripper_ambient,lambda_server_ambient,time_mmss,time_s,poured_weight_g,drained_volume_ml,retained_mass_g,phase,use_for_fit,notes
20,light,Kinu,28,5.3,92.0,,1.60,23.3,123.5,0.88,0.02,0.004,0.0,00:00,0,0.0,0.0,0.0,start,1,4/20 Kinu28 measured case start
20,light,Kinu,28,5.3,92.0,,,23.3,123.5,0.88,0.02,0.004,0.0,00:05,5,13.3,2.0,11.3,bloom_first_drip,1,first drip observed
20,light,Kinu,28,5.3,92.0,,,23.3,123.5,0.88,0.02,0.004,0.0,00:10,10,43.8,15.0,28.8,bloom_rise,1,
20,light,Kinu,28,5.3,92.0,,,23.3,123.5,0.88,0.02,0.004,0.0,00:15,15,43.8,15.0,28.8,bloom_drain,1,
20,light,Kinu,28,5.3,92.0,,,23.3,123.5,0.88,0.02,0.004,0.0,00:20,20,43.8,15.0,28.8,bloom_drain,1,
20,light,Kinu,28,5.3,92.0,,,23.3,123.5,0.88,0.02,0.004,0.0,00:25,25,43.7,15.0,28.7,bloom_drain,1,
20,light,Kinu,28,5.3,92.0,,,23.3,123.5,0.88,0.02,0.004,0.0,00:30,30,43.7,15.0,28.7,bloom_drain,1,
20,light,Kinu,28,5.3,92.0,,,23.3,123.5,0.88,0.02,0.004,0.0,00:35,35,43.7,15.0,28.7,bloom_end,1,held until water dropped below bed
20,light,Kinu,28,5.3,92.0,,,23.3,123.5,0.88,0.02,0.004,0.0,00:40,40,58.6,30.0,28.6,pour_2_start,1,second pour start
20,light,Kinu,28,5.3,92.0,,,23.3,123.5,0.88,0.02,0.004,0.0,00:45,45,85.8,50.0,35.8,pour_2_rise,1,
20,light,Kinu,28,5.3,92.0,,,23.3,123.5,0.88,0.02,0.004,0.0,00:50,50,99.4,65.0,34.4,pour_2_end,1,
20,light,Kinu,28,5.3,92.0,,,23.3,123.5,0.88,0.02,0.004,0.0,00:55,55,99.4,70.0,29.4,pause_1,1,
20,light,Kinu,28,5.3,92.0,,,23.3,123.5,0.88,0.02,0.004,0.0,01:00,60,103.4,80.0,23.4,pour_3_start,1,third pour start
20,light,Kinu,28,5.3,92.0,,,23.3,123.5,0.88,0.02,0.004,0.0,01:05,65,128.4,100.0,28.4,pour_3_rise,1,
20,light,Kinu,28,5.3,92.0,,,23.3,123.5,0.88,0.02,0.004,0.0,01:10,70,160.6,125.0,35.6,pour_3_end,1,
20,light,Kinu,28,5.3,92.0,,,23.3,123.5,0.88,0.02,0.004,0.0,01:15,75,160.6,140.0,20.6,pause_2,1,
20,light,Kinu,28,5.3,92.0,,,23.3,123.5,0.88,0.02,0.004,0.0,01:20,80,160.5,145.0,15.5,pause_2,1,
20,light,Kinu,28,5.3,92.0,,,23.3,123.5,0.88,0.02,0.004,0.0,01:25,85,206.1,180.0,26.1,pour_4_start,1,fourth pour start
20,light,Kinu,28,5.3,92.0,,,23.3,123.5,0.88,0.02,0.004,0.0,01:30,90,220.4,195.0,25.4,pour_4_end,1,
20,light,Kinu,28,5.3,92.0,,,23.3,123.5,0.88,0.02,0.004,0.0,01:35,95,220.4,205.0,15.4,pause_3,1,
20,light,Kinu,28,5.3,92.0,,,23.3,123.5,0.88,0.02,0.004,0.0,01:40,100,239.1,225.0,14.1,pour_5_start,1,fifth pour start
20,light,Kinu,28,5.3,92.0,,,23.3,123.5,0.88,0.02,0.004,0.0,01:45,105,278.6,255.0,23.6,pour_5_rise,1,
20,light,Kinu,28,5.3,92.0,,,23.3,123.5,0.88,0.02,0.004,0.0,01:50,110,301.4,265.0,36.4,pour_5_end,1,final pour end
20,light,Kinu,28,5.3,92.0,,,23.3,123.5,0.88,0.02,0.004,0.0,01:55,115,301.4,265.0,36.4,drawdown,1,
20,light,Kinu,28,5.3,92.0,,,23.3,123.5,0.88,0.02,0.004,0.0,02:00,120,301.3,265.0,36.3,flow_stop_visual,1,visual flow stop
