dose_g,roast,grinder,grinder_setting,bed_height_cm,brew_temp_C,ambient_temp_C,final_coffee_temp_C,final_tds_pct,dripper_mass_g,dripper_cp_J_gK,lambda_liquid_dripper,lambda_dripper_ambient,lambda_server_ambient,time_mmss,time_s,poured_weight_g,drained_volume_ml,estimated_server_volume_ml,server_temp_C,outflow_temp_C,use_for_fit,server_temp_use_for_fit,outflow_temp_use_for_fit,phase,notes
20,light,Kinu,29,5.3,92.0,23.0,,1.36,224.1,0.88,0.02,0.004,0.0,00:00,0,0.0,0.0,0.0,24.4,24.2,1,0,0,start,4/12 Kinu29 thermal case start
20,light,Kinu,29,5.3,92.0,23.0,,,123.5,0.88,0.02,0.004,0.0,00:05,5,32.7,5.0,5.0,24.8,24.3,1,0,1,bloom_first_drip,first drip observed
20,light,Kinu,29,5.3,92.0,23.0,,,123.5,0.88,0.02,0.004,0.0,00:10,10,42.8,20.0,20.0,47.8,58.5,1,1,1,bloom_pause,bloom pause
20,light,Kinu,29,5.3,92.0,23.0,,,123.5,0.88,0.02,0.004,0.0,00:15,15,42.8,20.0,20.0,46.0,70.0,1,1,1,bloom_drain,
20,light,Kinu,29,5.3,92.0,23.0,,,123.5,0.88,0.02,0.004,0.0,00:20,20,42.8,20.0,20.0,45.8,76.8,1,1,1,bloom_drain,
20,light,Kinu,29,5.3,92.0,23.0,,,123.5,0.88,0.02,0.004,0.0,00:25,25,42.8,20.0,20.0,48.3,77.1,1,1,1,bloom_drain,
20,light,Kinu,29,5.3,92.0,23.0,,,123.5,0.88,0.02,0.004,0.0,00:30,30,42.8,20.0,20.0,50.4,75.9,1,1,1,bloom_end,
20,light,Kinu,29,5.3,92.0,23.0,,,123.5,0.88,0.02,0.004,0.0,00:35,35,46.4,30.0,30.0,50.9,74.1,1,1,1,pour_2_start,second pour start
20,light,Kinu,29,5.3,92.0,23.0,,,123.5,0.88,0.02,0.004,0.0,00:40,40,80.6,45.0,45.0,51.7,76.0,1,1,1,pour_2_rise,
20,light,Kinu,29,5.3,92.0,23.0,,,123.5,0.88,0.02,0.004,0.0,00:45,45,103.5,60.0,60.0,58.8,78.9,1,1,1,pour_2_end,
20,light,Kinu,29,5.3,92.0,23.0,,,123.5,0.88,0.02,0.004,0.0,00:50,50,103.4,70.0,70.0,60.6,81.3,1,1,1,pause_1,
20,light,Kinu,29,5.3,92.0,23.0,,,123.5,0.88,0.02,0.004,0.0,00:55,55,103.4,75.0,75.0,60.9,83.0,1,1,1,pause_1,
20,light,Kinu,29,5.3,92.0,23.0,,,123.5,0.88,0.02,0.004,0.0,01:00,60,123.5,90.0,90.0,62.7,84.7,1,1,1,pour_3_start,third pour start
20,light,Kinu,29,5.3,92.0,23.0,,,123.5,0.88,0.02,0.004,0.0,01:05,65,155.1,110.0,110.0,61.3,84.6,1,1,1,pour_3_rise,
20,light,Kinu,29,5.3,92.0,23.0,,,123.5,0.88,0.02,0.004,0.0,01:10,70,159.6,125.0,125.0,66.9,84.8,1,1,1,pour_3_end,
20,light,Kinu,29,5.3,92.0,23.0,,,123.5,0.88,0.02,0.004,0.0,01:15,75,159.5,135.0,135.0,65.4,86.2,1,1,1,pause_2,
20,light,Kinu,29,5.3,92.0,23.0,,,123.5,0.88,0.02,0.004,0.0,01:20,80,178.4,150.0,150.0,68.3,87.3,1,1,1,pour_4_start,fourth pour start
20,light,Kinu,29,5.3,92.0,23.0,,,123.5,0.88,0.02,0.004,0.0,01:25,85,217.9,175.0,175.0,65.9,87.0,1,1,1,pour_4_rise,
20,light,Kinu,29,5.3,92.0,23.0,,,123.5,0.88,0.02,0.004,0.0,01:30,90,218.8,185.0,185.0,68.7,88.6,1,1,1,pour_4_end,
20,light,Kinu,29,5.3,92.0,23.0,,,123.5,0.88,0.02,0.004,0.0,01:35,95,218.7,190.0,190.0,69.1,88.1,1,1,1,pause_3,
20,light,Kinu,29,5.3,92.0,23.0,,,123.5,0.88,0.02,0.004,0.0,01:40,100,218.7,195.0,195.0,69.9,88.4,1,1,1,pause_3,
20,light,Kinu,29,5.3,92.0,23.0,,,123.5,0.88,0.02,0.004,0.0,01:45,105,247.9,220.0,220.0,70.8,88.6,1,1,1,pour_5_start,fifth pour start
20,light,Kinu,29,5.3,92.0,23.0,,,123.5,0.88,0.02,0.004,0.0,01:50,110,295.4,260.0,260.0,70.8,88.1,1,1,1,pour_5_rise,
20,light,Kinu,29,5.3,92.0,23.0,,,123.5,0.88,0.02,0.004,0.0,01:55,115,302.9,280.0,280.0,74.4,87.4,1,1,1,pour_5_end,final pour end
20,light,Kinu,29,5.3,92.0,23.0,,,123.5,0.88,0.02,0.004,0.0,02:00,120,302.8,290.0,290.0,74.8,87.9,1,1,1,drawdown,
20,light,Kinu,29,5.3,92.0,23.0,,,123.5,0.88,0.02,0.004,0.0,02:05,125,302.8,300.0,300.0,74.7,88.7,1,1,1,drawdown,
20,light,Kinu,29,5.3,92.0,23.0,,,123.5,0.88,0.02,0.004,0.0,02:10,130,302.8,310.0,310.0,75.1,87.4,1,1,1,flow_stop_visual,visual flow stop
